Name;Description;Date;Sud;Est
TPM1N1;Transect Nord;14/3/23;-21.10189;055.24328
TPM1N2;Transect Nord;14/3/23;-21.10262;055.24265
TPM1N3;Transect Nord;14/3/23;-21.10300;055.24227
TPM1S1;Transect Sud;14/3/23;-21.10397;055.24632
TPM1S2;Transect Sud;14/3/23;-21.10457;055.24545
TPM1S3;Transect Sud;14/3/23;-21.10528;055.24469
TPM1C1;Transect Central;15/3/23;-21.10280;055.24494
TPM1C2;Transect Central;15/3/23;-21.10344;055.24451
TPM1C3;Transect Central;15/3/23;-21.10422;055.24396
TPM1CJ;Cloche Jaune;15/3/23;-21.10266;055.24492
TPM1CR;Cloche Rouge;15/3/23;-21.10256;055.24514
TPM1CB;Cloche Bleue;15/3/23;-21.10250;055.24497
