groupe;radiale;station;transect;pit;type_substrat;organismes_benthiques
1;C;DAR;T1;0,2m;CV;C_M
1;C;DAR;T1;0,4m;CV;C_M
1;C;DAR;T1;0,6m;SD;NU
1;C;DAR;T1;0,8m;SD;NU
1;C;DAR;T1;1m;SD;NU
1;C;DAR;T1;1,2m;SD;NU
1;C;DAR;T1;1,4m;SD;NU
1;C;DAR;T1;1,6m;SD;GA
1;C;DAR;T1;1,8m;SD;GA
1;C;DAR;T1;2m;SD;NU
1;C;DAR;T1;2,2m;SD;GA
1;C;DAR;T1;2,4m;SD;GA
1;C;DAR;T1;2,6m;SD;GA
1;C;DAR;T1;2,8m;SD;GA
1;C;DAR;T1;3m;SD;NU
1;C;DAR;T1;3,2m;SD;GA
1;C;DAR;T1;3,4m;SD;GA
1;C;DAR;T1;3,6m;SD;GA
1;C;DAR;T1;3,8m;SD;GA
1;C;DAR;T1;4m;SD;GA
1;C;DAR;T1;4,2m;SD;GA
1;C;DAR;T1;4,4m;SD;NU
1;C;DAR;T1;4,6m;SD;GA
1;C;DAR;T1;4,8m;SD;NU
1;C;DAR;T1;5m;CV;C_M
1;C;DAR;T1;5,2m;CV;C_M
1;C;DAR;T1;5,4m;CV;C_M
1;C;DAR;T1;5,6m;CV;C_M
1;C;DAR;T1;5,8m;SD;NU
1;C;DAR;T1;6m;SD;NU
1;C;DAR;T1;6,2m;SD;NU
1;C;DAR;T1;6,4m;SD;NU
1;C;DAR;T1;6,6m;SD;NU
1;C;DAR;T1;6,8m;SD;NU
1;C;DAR;T1;7m;SD;NU
1;C;DAR;T1;7,2m;SD;NU
1;C;DAR;T1;7,4m;SD;NU
1;C;DAR;T1;7,6m;SD;NU
1;C;DAR;T1;7,8m;SD;NU
1;C;DAR;T1;8m;SD;NU
1;C;DAR;T1;8,2m;SD;NU
1;C;DAR;T1;8,4m;SD;NU
1;C;DAR;T1;8,6m;SD;GA
1;C;DAR;T1;8,8m;SD;NU
1;C;DAR;T1;9m;SD;NU
1;C;DAR;T1;9,2m;SD;NU
1;C;DAR;T1;9,4m;SD;GA
1;C;DAR;T1;9,6m;SD;GA
1;C;DAR;T1;9,8m;SD;GA
1;C;DAR;T1;10m;SD;GA
1;C;DAR;T2;0,2m;SD;NU
1;C;DAR;T2;0,4m;SD;NU
1;C;DAR;T2;0,6m;SD;NU
1;C;DAR;T2;0,8m;SD;NU
1;C;DAR;T2;1m;SD;GA
1;C;DAR;T2;1,2m;SD;GA
1;C;DAR;T2;1,4m;SD;NU
1;C;DAR;T2;1,6m;SD;NU
1;C;DAR;T2;1,8m;SD;NU
1;C;DAR;T2;2m;SD;NU
1;C;DAR;T2;2,2m;SD;NU
1;C;DAR;T2;2,4m;SD;NU
1;C;DAR;T2;2,6m;SD;NU
1;C;DAR;T2;2,8m;SD;INV
1;C;DAR;T2;3m;SD;NU
1;C;DAR;T2;3,2m;SD;NU
1;C;DAR;T2;3,4m;SD;NU
1;C;DAR;T2;3,6m;SD;GA
1;C;DAR;T2;3,8m;SD;NU
1;C;DAR;T2;4m;SD;GA
1;C;DAR;T2;4,2m;SD;GA
1;C;DAR;T2;4,4m;SD;GA
1;C;DAR;T2;4,6m;SD;GA
1;C;DAR;T2;4,8m;SD;GA
1;C;DAR;T2;5m;SD;GA
1;C;DAR;T2;5,2m;SD;NU
1;C;DAR;T2;5,4m;SD;GA
1;C;DAR;T2;5,6m;SD;GA
1;C;DAR;T2;5,8m;SD;GA
1;C;DAR;T2;6m;SD;GA
1;C;DAR;T2;6,2m;SD;GA
1;C;DAR;T2;6,4m;SD;GA
1;C;DAR;T2;6,6m;SD;GA
1;C;DAR;T2;6,8m;SD;INV
1;C;DAR;T2;7m;SD;GA
1;C;DAR;T2;7,2m;SD;GA
1;C;DAR;T2;7,4m;SD;GA
1;C;DAR;T2;7,6m;SD;GA
1;C;DAR;T2;7,8m;SD;GA
1;C;DAR;T2;8m;SD;GA
1;C;DAR;T2;8,2m;SD;GA
1;C;DAR;T2;8,4m;SD;GA
1;C;DAR;T2;8,6m;SD;GA
1;C;DAR;T2;8,8m;SD;GA
1;C;DAR;T2;9m;SD;GA
1;C;DAR;T2;9,2m;SD;GA
1;C;DAR;T2;9,4m;SD;GA
1;C;DAR;T2;9,6m;SD;GA
1;C;DAR;T2;9,8m;SD;GA
1;C;DAR;T2;10m;SD;GA
1;C;DAR;T3;0,2m;SD;NU
1;C;DAR;T3;0,4m;SD;NU
1;C;DAR;T3;0,6m;SD;GA
1;C;DAR;T3;0,8m;SD;NU
1;C;DAR;T3;1m;SD;NU
1;C;DAR;T3;1,2m;SD;NU
1;C;DAR;T3;1,4m;SD;NU
1;C;DAR;T3;1,6m;SD;NU
1;C;DAR;T3;1,8m;SD;NU
1;C;DAR;T3;2m;SD;NU
1;C;DAR;T3;2,2m;SD;NU
1;C;DAR;T3;2,4m;SD;NU
1;C;DAR;T3;2,6m;SD;NU
1;C;DAR;T3;2,8m;SD;NU
1;C;DAR;T3;3m;SD;NU
1;C;DAR;T3;3,2m;SD;NU
1;C;DAR;T3;3,4m;SD;NU
1;C;DAR;T3;3,6m;SD;NU
1;C;DAR;T3;3,8m;SD;NU
1;C;DAR;T3;4m;SD;NU
1;C;DAR;T3;4,2m;SD;NU
1;C;DAR;T3;4,4m;SD;NU
1;C;DAR;T3;4,6m;SD;NU
1;C;DAR;T3;4,8m;SD;NU
1;C;DAR;T3;5m;SD;NU
1;C;DAR;T3;5,2m;SD;INV
1;C;DAR;T3;5,4m;SD;NU
1;C;DAR;T3;5,6m;SD;NU
1;C;DAR;T3;5,8m;SD;NU
1;C;DAR;T3;6m;SD;NU
1;C;DAR;T3;6,2m;SD;NU
1;C;DAR;T3;6,4m;SD;NU
1;C;DAR;T3;6,6m;SD;NU
1;C;DAR;T3;6,8m;SD;NU
